"Method","Metric","K","Q_TC","B_TC","Q_RE","B_RE","Q_LC","B_LC"
"C-PCA","Int-Euclidean",1,0.960740740740741,0.0222222222222223,0.962250712250712,0.0213675213675214,0.740740740740741,0
"C-PCA","Int-Euclidean",2,0.958234830575256,0.00157604412923562,0.957115009746589,0.0087719298245614,0.685185185185185,0.0185185185185185
"C-PCA","Int-Euclidean",3,0.95959595959596,0.0145903479236812,0.952750544662309,0.0125272331154684,0.691358024691358,-0.0493827160493827
"C-PCA","Int-Euclidean",4,0.967931345980126,0.00632339656729897,0.951097620799608,0.0103630120186412,0.694444444444444,0
"C-PCA","Int-Euclidean",5,0.982261208576998,0.00428849902534112,0.949074074074074,0.0100833218880191,0.837037037037037,0.00740740740740742
"C-PCA","Int-Euclidean",6,0.986243386243386,0.00352733686067019,0.947928936003141,0.0101535575622737,0.858024691358025,0.0123456790123457
"C-PCA","Int-Euclidean",7,0.988260582010582,0.00231481481481477,0.9459139173303,0.0103487609175891,0.883597883597884,0.0211640211640212
"C-PCA","Int-Euclidean",8,0.988026819923372,-0.00670498084291193,0.941948604178221,0.00793357338005148,0.921296296296296,0.0509259259259259
"C-PCA","Int-Euclidean",9,0.983064260842039,0.00538144982589428,0.939506396939688,0.00926862344542505,0.925925925925926,0.037037037037037
"C-PCA","Int-Euclidean",10,0.980515297906602,0.0086956521739131,0.938136667396657,0.0093879555445583,0.911111111111111,0.0333333333333333
"C-PCA","Int-Euclidean",11,0.974579124579125,0.00505050505050508,0.935392853575993,0.0080143381963149,0.919191919191919,0.0269360269360269
"C-PCA","Int-Euclidean",12,0.969317356572259,0.00544662309368193,0.933355075735539,0.00851170218832158,0.904320987654321,0.0308641975308642
"C-PCA","Int-Euclidean",13,0.967236467236467,-0.000407000407000369,0.931371142678088,0.0082649765717849,0.905982905982906,0.0427350427350427
"C-PCA","Int-Euclidean",14,0.968660968660969,0.0028490028490028,0.929776549902867,0.00834890250732287,0.923280423280423,0.037037037037037
"C-PCA","Int-Euclidean",15,0.961560044893378,0.000561167227833836,0.927423456530049,0.0084094479566562,0.928395061728395,0.037037037037037
"C-PCA","Int-Euclidean",16,0.95959595959596,0.00808080808080802,0.925392043323467,0.00826681476826367,0.946759259259259,0.025462962962963
"C-PCA","Int-Euclidean",17,0.946913580246914,0.00576131687242809,0.924216518920272,0.00839186250109147,0.938997821350762,0.0239651416122004
"C-PCA","Int-Euclidean",18,0.950617283950617,0.00205761316872421,0.923555553652714,0.00833378935529673,0.950617283950617,0.0246913580246914
"C-PCA","Int-Euclidean",19,0.96031746031746,-0.00264550264550267,0.922927564814582,0.00811552490130313,0.970760233918129,0.0253411306042885
"C-PCA","Int-Euclidean",20,0.95326278659612,-0.0123456790123456,0.922714228048014,0.00784265473916504,0.977777777777778,0.0240740740740741
"C-PCA","Int-Euclidean",21,0.925925925925926,0.0148148148148148,0.922546296964829,0.00789703287473795,0.973544973544973,0.0194003527336861
